id,file,text,tone,tone_confidence,context,tags,start_ts,end_ts,speaker,language,duration,filename,download_url,game,section,prev_quote,next_quote,page_url,attribution
portal|introduction|glados-00-part1-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-1.wav,"Hello and, again, welcome to the Aperture Science computer-aided enrichment center.",annoyed,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-1.wav,https://i1.theportalwiki.net/img/e/e5/GLaDOS_00_part1_entry-1.wav,Portal,Introduction,,We hope your brief detention in the relaxation vault has been a pleasant one.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-generic-crate-vaporized-in-emancipation-grid-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_generic_crate_vaporized_in_emancipation_grid-2.wav,A replacement Aperture Science Weighted Storage Cube will be delivered shortly.,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_generic_crate_vaporized_in_emancipation_grid-2.wav,https://i1.theportalwiki.net/img/c/c2/GLaDOS_generic_crate_vaporized_in_emancipation_grid-2.wav,Portal,Introduction,Please do not attempt to remove testing apparatus from the testing area.,Please place the Weighted Storage Cube on the Fifteen Hundred Megawatt Aperture Science Heavy Duty Super-Colliding Super Button.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part2-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part2_entry-1.wav,Please place the Weighted Storage Cube on the Fifteen Hundred Megawatt Aperture Science Heavy Duty Super-Colliding Super Button.,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part2_entry-1.wav,https://i1.theportalwiki.net/img/8/83/GLaDOS_00_part2_entry-1.wav,Portal,Introduction,A replacement Aperture Science Weighted Storage Cube will be delivered shortly.,"Perfect. Please move quickly to the chamberlock, as the effects of prolonged exposure to the Button are not part of this test.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part2-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part2_success-1.wav,"Perfect. Please move quickly to the chamberlock, as the effects of prolonged exposure to the Button are not part of this test.",cheerful,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part2_success-1.wav,https://i1.theportalwiki.net/img/d/df/GLaDOS_00_part2_success-1.wav,Portal,Introduction,Please place the Weighted Storage Cube on the Fifteen Hundred Megawatt Aperture Science Heavy Duty Super-Colliding Super Button.,You're doing very well!,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-01-part1-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_entry-1.wav,You're doing very well!,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_01_part1_entry-1.wav,https://i1.theportalwiki.net/img/b/b3/GLaDOS_01_part1_entry-1.wav,Portal,Introduction,"Perfect. Please move quickly to the chamberlock, as the effects of prolonged exposure to the Button are not part of this test.","Please be advised that a noticeable taste of blood is not part of any test protocol but is an unintended side effect of the Aperture Science Material Emancipation Grill, which may, in semi- rare cases, emancipate dental fillings, crowns, tooth enamel, and teeth.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-01-part1-entry-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_entry-2.wav,"Please be advised that a noticeable taste of blood is not part of any test protocol but is an unintended side effect of the Aperture Science Material Emancipation Grill, which may, in semi- rare cases, emancipate dental fillings, crowns, tooth enamel, and teeth.",deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_01_part1_entry-2.wav,https://i1.theportalwiki.net/img/1/13/GLaDOS_01_part1_entry-2.wav,Portal,Introduction,You're doing very well!,,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-1.wav,Very good! You are now in possession of the Aperture Science Handheld Portal Device.,deadpan,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-1.wav,https://i1.theportalwiki.net/img/5/5a/GLaDOS_01_part1_get_portal_gun-1.wav,Portal,Receiving the Handheld Portal Device,,"With it, you can create your own portals.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-2.wav,"With it, you can create your own portals.",deadpan,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-2.wav,https://i1.theportalwiki.net/img/3/33/GLaDOS_01_part1_get_portal_gun-2.wav,Portal,Receiving the Handheld Portal Device,Very good! You are now in possession of the Aperture Science Handheld Portal Device.,These intra dimensional gates have proven to be completely safe.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-3-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-3.wav,These intra dimensional gates have proven to be completely safe.,deadpan,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-3.wav,https://i1.theportalwiki.net/img/4/49/GLaDOS_01_part1_get_portal_gun-3.wav,Portal,Receiving the Handheld Portal Device,"With it, you can create your own portals.","The Device, however, has not.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-4-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-4.wav,"The Device, however, has not.",deadpan,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-4.wav,https://i1.theportalwiki.net/img/f/fd/GLaDOS_01_part1_get_portal_gun-4.wav,Portal,Receiving the Handheld Portal Device,These intra dimensional gates have proven to be completely safe.,Do not touch the operational end of The Device.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-5-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-5.wav,Do not touch the operational end of The Device.,deadpan,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-5.wav,https://i1.theportalwiki.net/img/f/f9/GLaDOS_01_part1_get_portal_gun-5.wav,Portal,Receiving the Handheld Portal Device,"The Device, however, has not.",Do not look directly at the operational end of The Device.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-6-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-6.wav,Do not look directly at the operational end of The Device.,directive,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-6.wav,https://i1.theportalwiki.net/img/d/d0/GLaDOS_01_part1_get_portal_gun-6.wav,Portal,Receiving the Handheld Portal Device,Do not touch the operational end of The Device.,"Do not submerge The Device in liquid, even partially.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-7-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-7.wav,"Do not submerge The Device in liquid, even partially.",directive,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-7.wav,https://i1.theportalwiki.net/img/e/e4/GLaDOS_01_part1_get_portal_gun-7.wav,Portal,Receiving the Handheld Portal Device,Do not look directly at the operational end of The Device.,"Most importantly, under no circumstances should you [bzzzpt]",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|receiving-the-handheld-portal-device|glados-01-part1-get-portal-gun-8-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part1_get_portal_gun-8.wav,"Most importantly, under no circumstances should you [bzzzpt]",directive,1.0,Portal | Receiving the Handheld Portal Device,"GLaDOS,Portal,Receiving the Handheld Portal Device",,,GLaDOS,en,,GLaDOS_01_part1_get_portal_gun-8.wav,https://i1.theportalwiki.net/img/8/8a/GLaDOS_01_part1_get_portal_gun-8.wav,Portal,Receiving the Handheld Portal Device,"Do not submerge The Device in liquid, even partially.",,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-01-part2-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part2_entry-1.wav,Please proceed to the chamberlock. Mind the gap.,sarcastic,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_01_part2_entry-1.wav,https://i1.theportalwiki.net/img/3/34/GLaDOS_01_part2_entry-1.wav,Portal,Test Chambers 03-05,,Well done! Remember: The Aperture Science Bring Your Daughter to Work Day is the perfect time to have her tested.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-01-part2-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_01_part2_success-1.wav,Well done! Remember: The Aperture Science Bring Your Daughter to Work Day is the perfect time to have her tested.,sarcastic,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_01_part2_success-1.wav,https://i1.theportalwiki.net/img/a/af/GLaDOS_01_part2_success-1.wav,Portal,Test Chambers 03-05,Please proceed to the chamberlock. Mind the gap.,Welcome to test chamber four.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part1-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part1_entry-1.wav,Welcome to test chamber four.,sarcastic,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part1_entry-1.wav,https://i1.theportalwiki.net/img/c/c8/GLaDOS_02_part1_entry-1.wav,Portal,Test Chambers 03-05,Well done! Remember: The Aperture Science Bring Your Daughter to Work Day is the perfect time to have her tested.,You're doing quite well.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part1-entry-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part1_entry-2.wav,You're doing quite well.,cheerful,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part1_entry-2.wav,https://i1.theportalwiki.net/img/d/dd/GLaDOS_02_part1_entry-2.wav,Portal,Test Chambers 03-05,Welcome to test chamber four.,"Once again, excellent work.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part1-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part1_success-1.wav,"Once again, excellent work.",cheerful,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part1_success-1.wav,https://i1.theportalwiki.net/img/2/28/GLaDOS_02_part1_success-1.wav,Portal,Test Chambers 03-05,You're doing quite well.,"As part of a required test protocol, we will not monitor the next test chamber. You will be entirely on your own. Good luck.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part1-success-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part1_success-2.wav,"As part of a required test protocol, we will not monitor the next test chamber. You will be entirely on your own. Good luck.",cheerful,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part1_success-2.wav,https://i1.theportalwiki.net/img/b/b2/GLaDOS_02_part1_success-2.wav,Portal,Test Chambers 03-05,"Once again, excellent work.","As part of a required test protocol, our previous statement suggesting that we would not monitor this chamber was an outright fabrication.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part2-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part2_success-1.wav,"As part of a required test protocol, our previous statement suggesting that we would not monitor this chamber was an outright fabrication.",deadpan,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part2_success-1.wav,https://i1.theportalwiki.net/img/3/38/GLaDOS_02_part2_success-1.wav,Portal,Test Chambers 03-05,"As part of a required test protocol, we will not monitor the next test chamber. You will be entirely on your own. Good luck.","Good job! As part of a required test protocol, we will stop enhancing the truth in three, two, [static].",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-02-part2-success-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_02_part2_success-2.wav,"Good job! As part of a required test protocol, we will stop enhancing the truth in three, two, [static].",inquisitive,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_02_part2_success-2.wav,https://i1.theportalwiki.net/img/7/70/GLaDOS_02_part2_success-2.wav,Portal,Test Chambers 03-05,"As part of a required test protocol, our previous statement suggesting that we would not monitor this chamber was an outright fabrication.","You're not a good person. You know that, right?",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-03-05|glados-escape-01-part1-nag01-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_escape_01_part1_nag01-1.wav,"You're not a good person. You know that, right?",inquisitive,1.0,Portal | Test Chambers 03-05,"GLaDOS,Portal,Test Chambers 03-05",,,GLaDOS,en,,GLaDOS_escape_01_part1_nag01-1.wav,https://i1.theportalwiki.net/img/0/06/GLaDOS_escape_01_part1_nag01-1.wav,Portal,Test Chambers 03-05,"Good job! As part of a required test protocol, we will stop enhancing the truth in three, two, [static].",,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-06-08|glados-03-part1-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_03_part1_entry-1.wav,"While safety is one of many Enrichment Center goals, the Aperture Science High Energy Pellet, seen to the left of the chamber, can and has caused permanent disabilities, such as vaporization.",deadpan,1.0,Portal | Test Chambers 06-08,"GLaDOS,Portal,Test Chambers 06-08",,,GLaDOS,en,,GLaDOS_03_part1_entry-1.wav,https://i1.theportalwiki.net/img/a/ad/GLaDOS_03_part1_entry-1.wav,Portal,Test Chambers 06-08,,Please be careful.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-06-08|glados-03-part1-entry-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_03_part1_entry-2.wav,Please be careful.,deadpan,1.0,Portal | Test Chambers 06-08,"GLaDOS,Portal,Test Chambers 06-08",,,GLaDOS,en,,GLaDOS_03_part1_entry-2.wav,https://i1.theportalwiki.net/img/6/64/GLaDOS_03_part1_entry-2.wav,Portal,Test Chambers 06-08,"While safety is one of many Enrichment Center goals, the Aperture Science High Energy Pellet, seen to the left of the chamber, can and has caused permanent disabilities, such as vaporization.","Unbelievable ! You, [louder]Subject Name Here[/louder], must be the pride of [louder]Subject Hometown Here[/louder].",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-06-08|glados-03-part1-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_03_part1_success-1.wav,"Unbelievable ! You, [louder]Subject Name Here[/louder], must be the pride of [louder]Subject Hometown Here[/louder].",deadpan,1.0,Portal | Test Chambers 06-08,"GLaDOS,Portal,Test Chambers 06-08",,,GLaDOS,en,,GLaDOS_03_part1_success-1.wav,https://i1.theportalwiki.net/img/2/2a/GLaDOS_03_part1_success-1.wav,Portal,Test Chambers 06-08,Please be careful.,"Warning devices are required on all mobile equipment. However, alarms and flashing hazard lights have been found to agitate the high energy pellet and have therefore been disabled for your safety.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-06-08|glados-03-part2-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_03_part2_entry-1.wav,"Warning devices are required on all mobile equipment. However, alarms and flashing hazard lights have been found to agitate the high energy pellet and have therefore been disabled for your safety.",deadpan,1.0,Portal | Test Chambers 06-08,"GLaDOS,Portal,Test Chambers 06-08",,,GLaDOS,en,,GLaDOS_03_part2_entry-1.wav,https://i1.theportalwiki.net/img/b/b1/GLaDOS_03_part2_entry-1.wav,Portal,Test Chambers 06-08,"Unbelievable ! You, [louder]Subject Name Here[/louder], must be the pride of [louder]Subject Hometown Here[/louder].",Good. Now use the Aperture Science Unstationary Scaffold to reach the chamberlock.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|test-chambers-06-08|glados-03-part2-platform-activated-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_03_part2_platform_activated-1.wav,Good. Now use the Aperture Science Unstationary Scaffold to reach the chamberlock.,cheerful,1.0,Portal | Test Chambers 06-08,"GLaDOS,Portal,Test Chambers 06-08",,,GLaDOS,en,,GLaDOS_03_part2_platform_activated-1.wav,https://i1.theportalwiki.net/img/5/5f/GLaDOS_03_part2_platform_activated-1.wav,Portal,Test Chambers 06-08,"Warning devices are required on all mobile equipment. However, alarms and flashing hazard lights have been found to agitate the high energy pellet and have therefore been disabled for your safety.",Please note that we have added a consequence for failure. Any contact with the chamber floor will result in an 'unsatisfactory' mark on your official testing record followed by death. Good luck!,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
